title,pmid,abstract
Mechanism of Fumonisin Self-Resistance: Fusarium verticillioides Contains Four Fumonisin B1-Insensitive-Ceramide Synthases.,38922130,"Fusarium verticillioides produces fumonisins, which are mycotoxins inhibiting sphingolipid biosynthesis in humans, animals, and other eukaryotes. Fumonisins are presumed virulence factors of plant pathogens, but may also play a role in interactions between competing fungi. We observed higher resistance to added fumonisin B1 (FB1) in fumonisin-producing Fusarium verticillioides than in nonproducing F. graminearum, and likewise between isolates of Aspergillus and Alternaria differing in production of sphinganine-analog toxins. It has been reported that in F. verticillioides, ceramide synthase encoded in the fumonisin biosynthetic gene cluster is responsible for self-resistance. We reinvestigated the role of FUM17 and FUM18 by generating a double mutant strain in a fum1 background. Nearly unchanged resistance to added FB1 was observed compared to the parental fum1 strain. A recently developed fumonisin-sensitive baker's yeast strain allowed for the testing of candidate ceramide synthases by heterologous expression. The overexpression of the yeast LAC1 gene, but not LAG1, increased fumonisin resistance. High-level resistance was conferred by FUM18, but not by FUM17. Likewise, strong resistance to FB1 was caused by overexpression of the presumed F. verticillioides ""housekeeping"" ceramide synthases CER1, CER2, and CER3, located outside the fumonisin cluster, indicating that F. verticillioides possesses a redundant set of insensitive targets as a self-resistance mechanism."
Metagenomic Insights into Potential Impacts of Antibacterial Biosynthesis and Anthropogenic Activity on Nationwide Soil Resistome.,38795484,"The presence of antibiotic resistance genes (ARGs) in soils has received extensive attention regarding its impacts on environmental, animal, and human systems under One Health. However, the health risks of soil ARGs and microbial determinants of soil resistomes remain poorly understood. Here, a nationwide metagenomic investigation of ARGs in cropland and forest soils in China was conducted. The findings indicated that the abundance and richness of high-risk (i.e., mobilizable, pathogen-carriable and clinically relevant) ARGs in cropland soils were 25.7 times and 8.4 times higher, respectively, compared to those identified in forest soils, suggesting the contribution of agricultural practices to the elevated risk level of soil resistomes. The biosynthetic potential of antibacterials best explained the total ARG abundance (Mantel's r = 0.52, p < 0.001) when compared with environmental variables and anthropogenic disturbance. Both microbial producers' self-resistance and antagonistic interactions contributed to the ARG abundance, of which self-resistance ARGs account for 14.1 %- 35.1 % in abundance. With the increased biosynthetic potential of antibacterials, the antagonistic interactions within the microbial community were greatly enhanced, leading to a significant increase in ARG abundance. Overall, these findings advance our understanding of the emergence and dissemination of soil ARGs and provide critical implications for the risk control of soil resistomes."
Combinatorial metabolic engineering of Streptomyces sp. CB03234-S for the enhanced production of anthraquinone-fused enediyne tiancimycins.,38704580,"Anthraquinone-fused enediynes (AFEs) are excellent payloads for antibody-drug conjugates (ADCs). The yields of AFEs in the original bacterial hosts are extremely low. Multiple traditional methods had been adopted to enhance the production of the AFEs. Despite these efforts, the production titers of these compounds are still low, presenting a practical challenge for their development. Tiancimycins (TNMs) are a class of AFEs produced by Streptomyces sp. CB03234. One of their salient features is that they exhibit rapid and complete cell killing ability against various cancer cell lines."
Deciphering the Biosynthesis and Physiological Function of 5-Methylated Pyrazinones Produced by Myxobacteria.,38559311,"Myxobacteria are a prolific source of secondary metabolites with sheer chemical complexity, intriguing biosynthetic enzymology, and diverse biological activities. In this study, we report the discovery, biosynthesis, biomimetic total synthesis, physiological function, structure-activity relationship, and self-resistance mechanism of the 5-methylated pyrazinone coralinone from a myxobacterium Corallococcus exiguus SDU70. A single NRPS/PKS gene corA was genetically and biochemically demonstrated to orchestrate coralinone, wherein the integral PKS part is responsible for installing the 5-methyl group. Intriguingly, coralinone exacerbated cellular aggregation of myxobacteria grown in liquid cultures by enhancing the secretion of extracellular matrix, and the 5-methylation is indispensable for the alleged activity. We provided an evolutionary landscape of the corA-associated biosynthetic gene clusters (BGCs) distributed in the myxobacterial realm, revealing the divergent evolution for the diversity-oriented biosynthesis of 5-alkyated pyrazinones. This phylogenetic contextualization provoked us to identify corB located in the proximity of corA as a self-resistance gene. CorB was experimentally verified to be a protease that hydrolyzes extracellular proteins to antagonize the agglutination-inducing effect of coralinone. Overall, we anticipate these findings will provide new insights into the chemical ecology of myxobacteria and lay foundations for the maximal excavation of these largely underexplored resources."
Five New Analogs of Streptogramin Antibiotic Viridogrisein Isolated from Streptomyces niveoruber.,38233135,"Five new viridogriseins B-F were isolated from Streptomyces niveoruber, along with viridogrisein and griseoviridin which belong to streptogramin family antibiotics. A combination of liquid chromatography-tandem mass spectrometry (LC-MS/MS) analysis and the advanced Marfey's method elucidated the structures of viridogriseins B-F, each featuring distinct constituent amino acids. Consistent with other streptogramin family antibiotics, these viridogrisein analogs exhibited potent antibacterial activity against Staphylococcus aureus. Furthermore, equimolar mixtures of each viridogrisein analog and griseoviridin inhibited the growth of S. aureus more potently than each analog treatment alone. Finally, an in vitro functional analysis of SgvY, encoded in the viridogrisein biosynthetic gene cluster, revealed that SgvY detoxifies viridogrisein against S. aureus by linearization. Considering that viridogrisein is not autotoxic to S. niveoruber, SgvY likely contributes to the self-resistance system against viridogrisein in S. niveoruber."
Uncommon Arrangement of Self-resistance Allows Biosynthesis of de novo Purine Biosynthesis Inhibitor that Acts as an Immunosuppressor.,38051581,"(-)-FR901483 (1) isolated from the fungus Cladobotryum sp. No.11231 achieves immunosuppression via nucleic acid biosynthesis inhibition rather than IL-2 production inhibition as accomplished by FK506 and cyclosporin A. Recently, we identified the frz gene cluster for the biosynthesis of 1. It contains frzK, a gene homologous to phosphoribosyl pyrophosphate amidotransferase (PPAT)that catalyzes the initial step of de novo purine biosynthesis. We speculated that frzK encodes a PPAT that escapes inhibition by 1 and functions as a self-resistance enzyme (SRE) for the producing host. Nevertheless, details remained elusive. Here, we report the biochemical and structural analyses of FrzK and its Escherichia coli counterpart, PurF. Recombinantly produced FrzK exhibited PPAT activity, albeit weaker than PurF, but evaded strong inhibition by 1. These results confirmed that the target of 1 is PPAT, and FrzK acts as an SRE by maintaining the de novo purine biosynthetic capability in the presence of 1. To understand how FrzK evades inhibition by 1, we determined the crystal structure of PurF in the complex with 1 and constructed a homology model of FrzK. Sequence and structural analyses of various PPATs identified that many residues unique to FrzK occur near the Flexible Loop that remains disordered when inactive but becomes ordered and covers up the active site upon activation by substrate binding. Kinetic characterizations of mutants of the unique residues revealed that the resistance of FrzK against 1 may be conferred by structurally predisposing the Flexible Loop to the active, closed conformation even in the presence of 1."
"Automated, self-resistance gene-guided, and high-throughput genome mining of bioactive natural products from Streptomyces.",37961497,"Natural products (NPs) produced by bacteria, fungi and plants are a major source of drug leads. Streptomyces species are particularly important in this regard as they produce numerous natural products with prominent bioactivities. Here we report a fully a utomated, s calable and high-throughput platform for discovery of bioactive n atural p roducts in S treptomyces (FAST-NPS). This platform comprises computational prediction and prioritization of target biosynthetic gene clusters (BGCs) guided by self-resistance genes, highly efficient and automated direct cloning and heterologous expression of BGCs, followed by high-throughput fermentation and product extraction from Streptomyces strains. As a proof of concept, we applied this platform to clone 105 BGCs ranging from 10 to 100 kb that contain potential self-resistance genes from 11 Streptomyces strains with a success rate of 95%. Heterologous expression of all successfully cloned BGCs in Streptomyces lividans TK24 led to the discovery of 23 natural products from 12 BGCs. We selected 5 of these 12 BGCs for further characterization and found each of them could produce at least one natural product with antibacterial and/or anti-tumor activity, which resulted in a total of 8 bioactive natural products. Overall, this work would greatly accelerate the discovery of bioactive natural products for biomedical and biotechnological applications."
Targeted genome mining for microbial antitumor agents acting through DNA intercalation.,37575356,"Microbial natural products have been one of the most important sources for drug development. In the current postgenomic era, sequence-driven approaches for natural product discovery are becoming increasingly popular. Here, we develop an effective genome mining strategy for the targeted discovery of microbial metabolites with antitumor activities. Our method employs uvrA-like genes as genetic markers, which have been identified in the biosynthetic gene clusters (BGCs) of several chemotherapeutic drugs of microbial origin and confer self-resistance to the corresponding producers. Through systematic genomic analysis of gifted actinobacteria genera, identification of uvrA-like gene-containing BGCs, and targeted isolation of products from a BGC prioritized for metabolic analysis, we identified a new tetracycline-type DNA intercalator timmycins. Our results thus provide a new genome mining strategy for the efficient discovery of antitumor agents acting through DNA intercalation."
A Comprehensive Self-Resistance Gene Database for Natural-Product Discovery with an Application to Marine Bacterial Genome Mining.,37569821,"In the world of microorganisms, the biosynthesis of natural products in secondary metabolism and the self-resistance of the host always occur together and complement each other. Identifying resistance genes from biosynthetic gene clusters (BGCs) helps us understand the self-defense mechanism and predict the biological activity of natural products synthesized by microorganisms. However, a comprehensive database of resistance genes is still lacking, which hinders natural product annotation studies in large-scale genome mining. In this study, we compiled a resistance gene database (RGDB) by scanning the four available databases: CARD, MIBiG, NCBIAMR, and UniProt. Every resistance gene in the database was annotated with resistance mechanisms and possibly involved chemical compounds, using manual annotation and transformation from the resource databases. The RGDB was applied to analyze resistance genes in 7432 BGCs in 1390 genomes from a marine microbiome project. Our calculation showed that the RGDB successfully identified resistance genes for more than half of the BGCs, suggesting that the database helps prioritize BGCs that produce biologically active natural products."
Complete Genome Analysis of Subtercola sp. PAMC28395: Genomic Insights into Its Potential Role for Cold Adaptation and Biotechnological Applications.,37374983,"This study reports the complete genome sequence of Subtercola sp. PAMC28395, a strain isolated from cryoconite in Uganda. This strain possesses several active carbohydrate-active enzyme (CAZyme) genes involved in glycogen and trehalose metabolism. Additionally, two specific genes associated with α-galactosidase (GH36) and bacterial alpha-1,2-mannosidase (GH92) were identified in this strain. The presence of these genes indicates the likelihood that they can be expressed, enabling the strain to break down specific polysaccharides derived from plants or the shells of nearby crabs. The authors performed a comparative analysis of CAZyme patterns and biosynthetic gene clusters (BGCs) in several Subtercola strains and provided annotations describing the unique characteristics of these strains. The comparative analysis of BGCs revealed that four strains, including PAMC28395, have oligosaccharide BGCs, and we confirmed that the pentose phosphate pathway was configured perfectly in the genome of PAMC28395, which may be associated with adaptation to low temperatures. Additionally, all strains contained antibiotic resistance genes, indicating a complex self-resistance system. These results suggest that PAMC28395 can adapt quickly to the cold environment and produce energy autonomously. This study provides valuable information on novel functional enzymes, particularly CAZymes, that operate at low temperatures and can be used for biotechnological applications and fundamental research purposes."
