#Scientific name	Protein	BioSample	Isolate	Contig	Start	Stop	Strand	Assembly	Element symbol	Element name	Type	Scope	Subtype	Class	Subclass	Method	% Coverage of reference	AMRFinderPlus analysis type	% Identity to reference
Klebsiella pneumoniae	EIW9071953.1	SAMN04448227	PDT000130464.2	ABFCYE010000001.1	30630	31805	+	GCA_022315655.1	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	AMR	core	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	EIW9061058.1	SAMN04448230	PDT000130466.2	ABFCYC010000002.1	15396	15815	+	GCA_022315595.1	fosA	FosA5 family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ4212228.1	SAMN11230927	PDT000538165.1	DAGNBN010000001.1	30630	31805	+	GCA_022332625.1	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	AMR	core	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HCA8996859.1	SAMN26422316	PDT001289656.1	DAGYUU010000007.1	190563	191423	+	GCA_023024485.1	blaSHV-1	broad-spectrum class A beta-lactamase SHV-1	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBY9209578.1	SAMN02927709	PDT000193197.2	DAGSOC010000027.1	43116	43976	+	GCA_022305095.1	blaSHV-11	broad-spectrum class A beta-lactamase SHV-11	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBV6320487.1	SAMN24019707	PDT001243460.1	DAGIXV010000013.1	30630	31805	+	GCA_022152465.1	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	AMR	core	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae subsp. pneumoniae	HBY7881458.1	SAMN02631010	PDT000193383.2	DAGSFE010000028.1	54335	57487	-	GCA_022300495.1	oqxB	multidrug efflux RND transporter permease subunit OqxB	AMR	core	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBY5425037.1	SAMEA3649434	PDT000427392.1	DAGROK010000036.1	14897	16072	-	GCA_022289835.1	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	AMR	core	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HCA8997963.1	SAMN26422316	PDT001289656.1	DAGYUU010000015.1	53339	56491	+	GCA_023024485.1	oqxB20	multidrug efflux RND transporter permease subunit OqxB20	AMR	core	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	EIW9074125.1	SAMN04448227	PDT000130464.2	ABFCYE010000017.1	65026	65445	-	GCA_022315655.1	fosA	FosA5 family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBY8334864.1	SAMN02927810	PDT000193298.2	DAGSIH010000021.1	30630	31805	+	GCA_022302065.1	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	AMR	core	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae subsp. pneumoniae	HBY7881459.1	SAMN02631010	PDT000193383.2	DAGSFE010000028.1	57511	58686	-	GCA_022300495.1	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	AMR	core	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ3152763.1	SAMN11853671	PDT000534816.1	DAGNQC010000017.1	30630	31805	+	GCA_022329305.1	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	AMR	core	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ4214760.1	SAMN11230927	PDT000538165.1	DAGNBN010000018.1	64964	65383	-	GCA_022332625.1	fosA	FosA5 family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8089309.1	SAMN19291395	PDT001044042.1	DAFYMX010000014.1	124679	125539	+	GCA_021942045.1	blaSHV-1	broad-spectrum class A beta-lactamase SHV-1	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBV6320839.1	SAMN24019707	PDT001243460.1	DAGIXV010000017.1	64882	65301	-	GCA_022152465.1	fosA	FosA5 family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBU8542704.1	SAMN24020430	PDT001244784.1	DAGGTG010000019.1	30630	31805	+	GCA_022110415.1	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	AMR	core	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	EIW9074398.1	SAMN04448227	PDT000130464.2	ABFCYE010000020.1	79090	79950	+	GCA_022315655.1	blaSHV-28	broad-spectrum class A beta-lactamase SHV-28	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ2099135.1	SAMEA5226270	PDT000535641.1	DAGNPJ010000095.1	8693	9337	-	GCA_022328325.1	qnrB4	quinolone resistance pentapeptide repeat protein QnrB4	AMR	core	AMR	QUINOLONE	QUINOLONE	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HDU2471250.1	SAMN24010478	PDT001794380.1	DAPDFZ010000035.1	14777	15952	-	GCA_031017585.1	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	AMR	core	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	EIW9063615.1	SAMN04448230	PDT000130466.2	ABFCYC010000025.1	30630	31805	+	GCA_022315595.1	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	AMR	core	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBY8335295.1	SAMN02927810	PDT000193298.2	DAGSIH010000026.1	64855	65274	-	GCA_022302065.1	fosA	FosA5 family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBY5425947.1	SAMEA3649434	PDT000427392.1	DAGROK010000060.1	14212	14631	-	GCA_022289835.1	fosA	FosA5 family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ3153232.1	SAMN11853671	PDT000534816.1	DAGNQC010000022.1	65726	66145	-	GCA_022329305.1	fosA	FosA5 family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ2099141.1	SAMEA5226270	PDT000535641.1	DAGNPJ010000095.1	13461	14600	-	GCA_022328325.1	blaDHA-1	extended-spectrum class C beta-lactamase DHA-1	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBV1155732.1	SAMN24020474	PDT001244603.1	DAGHND010000022.1	30630	31805	+	GCA_022122845.1	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	AMR	core	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ2099144.1	SAMEA5226270	PDT000535641.1	DAGNPJ010000096.1	1	2648	-	GCA_022328325.1	oqxB	multidrug efflux RND transporter permease subunit OqxB	AMR	core	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	PARTIAL_CONTIG_ENDP	84.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8090270.1	SAMN19291395	PDT001044042.1	DAFYMX010000027.1	1818	2183	-	GCA_021942045.1	ble	bleomycin binding protein Ble-MBL	AMR	core	AMR	BLEOMYCIN	BLEOMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBV1155934.1	SAMN24020474	PDT001244603.1	DAGHND010000024.1	64882	65301	-	GCA_022122845.1	fosA	FosA5 family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBU8542983.1	SAMN24020430	PDT001244784.1	DAGGTG010000022.1	64882	65301	-	GCA_022110415.1	fosA	FosA5 family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	EIW9076012.1	SAMN04448227	PDT000130464.2	ABFCYE010000049.1	39943	40467	-	GCA_022315655.1	sat2	streptothricin N-acetyltransferase Sat2	AMR	core	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ2099145.1	SAMEA5226270	PDT000535641.1	DAGNPJ010000096.1	2672	3847	-	GCA_022328325.1	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	AMR	core	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ4216205.1	SAMN11230927	PDT000538165.1	DAGNBN010000043.1	40050	40574	-	GCA_022332625.1	sat2	streptothricin N-acetyltransferase Sat2	AMR	core	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8090271.1	SAMN19291395	PDT001044042.1	DAFYMX010000027.1	2187	2999	-	GCA_021942045.1	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
