#Scientific name	Protein	BioSample	Isolate	Contig	Start	Stop	Strand	Assembly	Element symbol	Element name	Type	Scope	Subtype	Class	Subclass	Method	% Coverage of reference	AMRFinderPlus analysis type	% Identity to reference
Pseudomonas aeruginosa	EML2126482.1	SAMN33285590	PDT001615610.3	ABKQLC030000002.1	90096	91289	+	GCA_028640045.3	blaPDC-19a	class C beta-lactamase PDC-19a	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	WP_001209508.1	SAMN41380053	PDT002171240.1	NZ_JBDKWM010000001.1	49266	50057	+	GCA_039684275.1	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMJ4549937.1	SAMN16916271	PDT000898309.3	ABEUSX030000003.1	155425	155832	+	GCA_021666635.3	fosA	FosA family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMP0440394.1	SAMN16940787	PDT000899222.3	ABEURG030000003.1	90096	91289	+	GCA_021665835.3	blaPDC-19a	class C beta-lactamase PDC-19a	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCG0462934.1	SAMD00244737	PDT001339874.1	DAHPXX010000004.1	162339	163127	+	GCA_023995295.1	blaOXA-847	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-847	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCF4722034.1	SAMN27565844	PDT001344043.1	DAHONP010000005.1	179362	179769	+	GCA_023951155.1	fosA	FosA family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EML2126491.1	SAMN33285590	PDT001615610.3	ABKQLC030000002.1	103548	104354	-	GCA_028640045.3	aph(3')-IIb	aminoglycoside O-phosphotransferase APH(3')-IIb	AMR	core	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	WP_063844477.1	SAMN41380053	PDT002171240.1	NZ_JBDKWM010000001.1	51649	51885	+	GCA_039684275.1	dfrB2	trimethoprim-resistant dihydrofolate reductase DfrB2	AMR	core	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HBO6866591.1	SAMD00141164	PDT000771072.1	DAFQDY010000052.1	19144	19932	+	GCA_021674595.1	blaOXA-488	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-488	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMJ4289332.1	SAMN16916273	PDT000898305.3	ABEUTB030000003.1	155425	155832	+	GCA_021666655.3	fosA	FosA family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMM1210399.1	SAMN16916272	PDT000898308.3	ABEUSY030000007.1	155425	155832	+	GCA_021666675.3	fosA	FosA family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMP0440403.1	SAMN16940787	PDT000899222.3	ABEURG030000003.1	103548	104354	-	GCA_021665835.3	aph(3')-IIb	aminoglycoside O-phosphotransferase APH(3')-IIb	AMR	core	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCG0464127.1	SAMD00244737	PDT001339874.1	DAHPXX010000011.1	127375	127782	+	GCA_023995295.1	fosA	FosA family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCR1476921.1	SAMN31263457	PDT001471631.1	DAJRUH010000007.1	54362	54769	+	GCA_025921805.1	fosA	FosA family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	WP_122630859.1	SAMN41380053	PDT002171240.1	NZ_JBDKWM010000001.1	52112	52912	+	GCA_039684275.1	blaOXA-677	OXA-10 family class D beta-lactamase OXA-677	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMJ4290079.1	SAMN16916273	PDT000898305.3	ABEUTB030000006.1	163209	163997	+	GCA_021666655.3	blaOXA-395	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-395	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EML9692032.1	SAMN16916270	PDT000898310.3	ABEUSV030000004.1	155425	155832	+	GCA_021666615.3	fosA	FosA family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCG0282171.1	SAMD00260834	PDT001339906.1	DAHPWW010000008.1	27445	28638	-	GCA_023994755.1	blaPDC-1	cephalosporin-hydrolyzing class C beta-lactamase PDC-1	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCF4723700.1	SAMN27565844	PDT001344043.1	DAHONP010000016.1	56852	57640	+	GCA_023951155.1	blaOXA-848	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-848	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EKS2405751.1	SAMN34111343	PDT001682682.1	ABLKHV010000009.1	27387	28580	-	GCA_029622995.1	blaPDC-1	cephalosporin-hydrolyzing class C beta-lactamase PDC-1	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	WP_001209508.1	SAMN41380053	PDT002171240.1	NZ_JBDKWM010000001.1	52929	53720	+	GCA_039684275.1	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HBO6965016.1	SAMD00141167	PDT000771075.1	DAFQDW010000020.1	840	1724	-	GCA_021674535.1	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	AMR	core	AMR	MACROLIDE	ERYTHROMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMJ4290403.1	SAMN16916273	PDT000898305.3	ABEUTB030000008.1	90164	91357	+	GCA_021666655.3	blaPDC-19a	class C beta-lactamase PDC-19a	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EML9693092.1	SAMN16916270	PDT000898310.3	ABEUSV030000008.1	90164	91357	+	GCA_021666615.3	blaPDC-19a	class C beta-lactamase PDC-19a	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCG0464586.1	SAMD00244737	PDT001339874.1	DAHPXX010000015.1	93370	94563	+	GCA_023995295.1	blaPDC-1	cephalosporin-hydrolyzing class C beta-lactamase PDC-1	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCG0282498.1	SAMD00260834	PDT001339906.1	DAHPWW010000009.1	162339	163127	+	GCA_023994755.1	blaOXA-847	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-847	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCF4724498.1	SAMN27565844	PDT001344043.1	DAHONP010000022.1	85512	86705	+	GCA_023951155.1	blaPDC-16	class C beta-lactamase PDC-16	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMP0812012.1	SAMN30350041	PDT001391294.3	ABHYED030000008.1	72310	72717	+	GCA_024961505.3	fosA	FosA family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCR1478600.1	SAMN31263457	PDT001471631.1	DAJRUH010000021.1	49050	49688	+	GCA_025921805.1	catB7	type B-4 chloramphenicol O-acetyltransferase CatB7	AMR	core	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EKS2406393.1	SAMN34111343	PDT001682682.1	ABLKHV010000012.1	160189	160596	+	GCA_029622995.1	fosA	FosA family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HBO6965017.1	SAMD00141167	PDT000771075.1	DAFQDW010000020.1	1780	3255	-	GCA_021674535.1	msr(E)	ABC-F type ribosomal protection protein Msr(E)	AMR	core	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMJ4290412.1	SAMN16916273	PDT000898305.3	ABEUTB030000008.1	103616	104422	-	GCA_021666655.3	aph(3')-IIb	aminoglycoside O-phosphotransferase APH(3')-IIb	AMR	core	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMJ4551456.1	SAMN16916271	PDT000898309.3	ABEUSX030000008.1	90164	91357	+	GCA_021666635.3	blaPDC-19a	class C beta-lactamase PDC-19a	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EML9693101.1	SAMN16916270	PDT000898310.3	ABEUSV030000008.1	103616	104422	-	GCA_021666615.3	aph(3')-IIb	aminoglycoside O-phosphotransferase APH(3')-IIb	AMR	core	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMP0442147.1	SAMN16940787	PDT000899222.3	ABEURG030000020.1	68000	68407	+	GCA_021665835.3	fosA	FosA family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCG0283073.1	SAMD00260834	PDT001339906.1	DAHPWW010000012.1	160189	160596	+	GCA_023994755.1	fosA	FosA family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCF4724507.1	SAMN27565844	PDT001344043.1	DAHONP010000022.1	99061	99867	-	GCA_023951155.1	aph(3')-IIb	aminoglycoside O-phosphotransferase APH(3')-IIb	AMR	core	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMP0812620.1	SAMN30350041	PDT001391294.3	ABHYED030000012.1	90597	91790	+	GCA_024961505.3	blaPDC-3	extended-spectrum class C beta-lactamase PDC-3	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCR1480096.1	SAMN31263457	PDT001471631.1	DAJRUH010000042.1	10446	11234	+	GCA_025921805.1	blaOXA-847	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-847	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EML2128525.1	SAMN33285590	PDT001615610.3	ABKQLC030000025.1	54361	54768	+	GCA_028640045.3	fosA	FosA family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	WP_000259031.1	SAMN41380053	PDT002171240.1	NZ_JBDKWM010000001.1	55607	56446	+	GCA_039684275.1	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	AMR	core	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	100.0	COMBINED	100.0
