#Scientific name	Protein	BioSample	Isolate	Contig	Start	Stop	Strand	Assembly	Element symbol	Element name	Type	Scope	Subtype	Class	Subclass	Method	% Coverage of reference	AMRFinderPlus analysis type	% Identity to reference
Acinetobacter baumannii	HAV6135534.1	SAMD00034430	PDT000173789.3	DADBKD010000001.1	9	1160	+	GCA_016514445.1	blaADC-30	extended-spectrum class C beta-lactamase ADC-30	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	WP_001279062.1	SAMN23416908	PDT001224264.1	NZ_CP090607.1	179146	179934	+	GCA_021484905.1	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	AMR	core	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	EMN2959394.1	SAMN26365835	PDT001257306.3	ABFGSS030000001.1	213868	214692	+	GCA_022442445.3	blaOXA-69	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-69	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HCQ9929778.1	SAMN31262559	PDT001469761.1	DAJRIL010000018.1	27133	28284	-	GCA_025897775.1	blaADC-169	extended-spectrum class C beta-lactamase ADC-169	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	EMP2056304.1	SAMN35141346	PDT001739140.2	ABMAPL020000001.1	24631	25455	+	GCA_031152015.2	blaOXA-66	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV6064156.1	SAMD00034438	PDT000173797.3	DADBJN010000002.1	8	1159	+	GCA_016514295.1	blaADC-30	extended-spectrum class C beta-lactamase ADC-30	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV6013277.1	SAMD00034449	PDT000173808.3	DADBJF010000012.1	58452	59240	+	GCA_016513995.1	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	AMR	core	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV4258295.1	SAMN03575972	PDT000663701.1	DADARP010000010.1	50760	51563	+	GCA_016497185.1	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	WP_000018326.1	SAMN23416908	PDT001224264.1	NZ_CP090607.1	250404	251219	-	GCA_021484905.1	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	AMR	core	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii AYE	HBN5961039.1	SAMN20285909	PDT001227185.1	DAFNKQ010000006.1	9371	10195	-	GCA_021545095.1	blaOXA-69	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-69	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV4258296.1	SAMN03575972	PDT000663701.1	DADARP010000010.1	51563	52399	+	GCA_016497185.1	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	WP_002089484.1	SAMN23416908	PDT001224264.1	NZ_CP090607.1	253830	254294	+	GCA_021484905.1	aac(3)-Ia	aminoglycoside N-acetyltransferase AAC(3)-Ia	AMR	core	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HCG3426906.1	SAMEA13320922	PDT001336298.1	DAHQZY010000055.1	13425	14576	+	GCA_024026015.1	blaADC-6	extended-spectrum class C beta-lactamase ADC-6	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV6013674.1	SAMD00034449	PDT000173808.3	DADBJF010000017.1	59198	60001	+	GCA_016513995.1	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV4258301.1	SAMN03575972	PDT000663701.1	DADARP010000010.1	55772	56989	+	GCA_016497185.1	tet(B)	tetracycline efflux MFS transporter Tet(B)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	99.75	COMBINED	100.0
Acinetobacter baumannii	HAV4274573.1	SAMN03576448	PDT000663714.1	DADARS010000072.1	16800	17624	+	GCA_016497045.1	blaOXA-66	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii		SAMN23416908	PDT001224264.1	NZ_CP090607.1	255338	256126	+	GCA_021484905.1	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	100.0	COMBINED	100.0
Acinetobacter baumannii AYE	HBN5962208.1	SAMN20285909	PDT001227185.1	DAFNKQ010000013.1	9	1160	+	GCA_021545095.1	blaADC-11	extended-spectrum class C beta-lactamase ADC-11	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
